label,pix1,pix2
0,['114' '115' '116' '116' '116' '115' '117' '116' '117' '117'],['122' '122' '124' '122' '123' '121' '124' '122' '122' '123']
0,['115' '116' '116' '116' '115' '117' '116' '117' '117' '115'],['122' '124' '122' '123' '121' '124' '122' '122' '123' '120']
0,['116' '116' '116' '115' '117' '116' '117' '117' '115' '117'],['124' '122' '123' '121' '124' '122' '122' '123' '120' '123']
0,['116' '116' '115' '117' '116' '117' '117' '115' '117' '115'],['122' '123' '121' '124' '122' '122' '123' '120' '123' '123']
0,['116' '115' '117' '116' '117' '117' '115' '117' '115' '116'],['123' '121' '124' '122' '122' '123' '120' '123' '123' '122']
0,['115' '117' '116' '117' '117' '115' '117' '115' '116' '116'],['121' '124' '122' '122' '123' '120' '123' '123' '122' '124']
0,['117' '116' '117' '117' '115' '117' '115' '116' '116' '115'],['124' '122' '122' '123' '120' '123' '123' '122' '124' '123']
0,['116' '117' '117' '115' '117' '115' '116' '116' '115' '114'],['122' '122' '123' '120' '123' '123' '122' '124' '123' '123']
0,['117' '117' '115' '117' '115' '116' '116' '115' '114' '116'],['122' '123' '120' '123' '123' '122' '124' '123' '123' '121']
0,['117' '115' '117' '115' '116' '116' '115' '114' '116' '116'],['123' '120' '123' '123' '122' '124' '123' '123' '121' '123']
0,['115' '117' '115' '116' '116' '115' '114' '116' '116' '117'],['120' '123' '123' '122' '124' '123' '123' '121' '123' '122']
0,['117' '115' '116' '116' '115' '114' '116' '116' '117' '115'],['123' '123' '122' '124' '123' '123' '121' '123' '122' '123']
0,['115' '116' '116' '115' '114' '116' '116' '117' '115' '115'],['123' '122' '124' '123' '123' '121' '123' '122' '123' '120']
0,['116' '116' '115' '114' '116' '116' '117' '115' '115' '119'],['122' '124' '123' '123' '121' '123' '122' '123' '120' '123']
0,['116' '115' '114' '116' '116' '117' '115' '115' '119' '116'],['124' '123' '123' '121' '123' '122' '123' '120' '123' '123']
